timeline,accX,accY,accZ,gyroX,gyroY,gyroZ
3996,0.0146,-2.7372,7.6372,10.2900,-17.7800,18.4800
4016,0.0698,-2.7918,7.5308,1.1200,-22.8900,19.0400
4036,0.0839,-2.8319,7.4357,-1.7500,-16.8700,23.4500
4056,0.1371,-3.0178,7.4996,-1.4000,-14.3500,25.0600
4076,-0.0468,-2.8899,7.4967,1.7500,-10.5000,21.4900
4096,0.0459,-2.9500,7.5738,-1.8900,-26.0400,17.8500
4116,0.0854,-2.8865,7.4854,-0.0700,-21.9800,13.8600
4136,0.0503,-2.9178,7.4810,7.2800,-17.8500,16.4500
4156,-0.0259,-2.8494,7.4986,10.2200,-19.0400,12.5300
4176,-0.0107,-2.9016,7.5689,10.2900,-30.9400,6.0900
4196,0.0547,-2.8099,7.4313,11.6900,-27.5100,8.1200
4216,0.1015,-2.8650,7.4840,6.0900,-20.5100,12.1800
4236,-0.0117,-2.7977,7.4034,1.4700,-11.2700,34.3700
4256,-0.0117,-3.0271,7.6113,-2.0300,-11.3400,9.8700
4276,-0.0171,-2.9080,7.4615,5.6000,-19.7400,1.5400
4296,0.0634,-2.9436,7.4898,8.3300,-21.7700,3.0100
4316,0.0791,-2.8299,7.3981,13.4400,-8.8900,10.5000
4336,0.0332,-2.9461,7.5786,17.7800,-12.4600,16.9400
4356,-0.0137,-2.8860,7.5606,11.3400,-22.6100,11.9000
4376,0.0151,-2.8699,7.4835,10.5000,-24.7100,6.5800
4396,0.0576,-2.8299,7.3834,12.0400,-19.3200,9.6600
4416,0.0664,-2.9260,7.4898,10.5700,-17.7100,8.9600
4436,0.0303,-2.8597,7.4849,9.5900,-13.3700,9.8000
4456,0.0068,-2.9319,7.5503,5.0400,-16.2400,6.5100
4476,0.0361,-2.9129,7.5020,6.7200,-19.5300,6.4400
4496,0.0747,-2.9138,7.4688,5.9500,-21.5600,7.4200
4516,0.0298,-2.8929,7.4630,10.7800,-20.7200,9.0300
